device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Huawei,Android,25.6,yes,no,13,8,64,4,7500,498,2019,205,4.936629881,5.704781975
Huawei,Android,20.42,yes,no,13,8,128,6,6100,340,2019,406,5.294259143,5.856932654
Huawei,Android,20.42,yes,no,13,8,64,4,6100,320,2019,462,5.001190835,5.556287375
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,333,5.428204627,5.9652489
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,284,5.378560054,5.885520528
Huawei,Android,15.34,yes,no,13,24,128,6,4000,178,2019,202,5.058853866,5.562948291
Huawei,Android,15.34,yes,no,13,16,64,4,4000,178,2019,445,5.043683148,5.637785112
Huawei,Android,16.74,yes,no,13,16,64,4,4000,196.8,2019,375,4.607467545,5.638105528
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,666,3.579343567,4.70311326
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,819,3.982295058,5.016551095
Infinix,Android,17.32,yes,no,,8,32,2,6000,209,2020,245,4.282068168,4.59764192
Infinix,Android,15.39,yes,no,,8,64,4,5000,185,2020,173,4.363608049,4.711779921
Infinix,Android,15.39,yes,no,,8,32,2,5000,185,2020,256,4.181439269,4.505460342
Infinix,Android,15.39,yes,no,,16,32,3,4000,178,2019,316,4.555244377,4.602165677
Infinix,Android,15.29,yes,no,,16,32,2,4000,165,2019,468,4.416669578,4.871296595
Lava,Android,14.5,yes,no,,5,32,2,3200,150,2020,356,3.989909544,4.381026134
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,819,3.495598057,4.113002744
Lenovo,Android,25.43,yes,no,8,5,32,3,7000,520,2020,233,4.726768158,5.20136584
Lenovo,Android,25.43,no,no,8,5,64,4,7000,580,2019,419,5.214881408,5.775141434
Lenovo,Android,15.47,yes,no,8,5,16,2,4000,172,2019,267,3.940610462,4.591071262
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,461,4.779375562,5.066133071
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,423,4.463721822,4.938064601
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,528,3.896096855,4.606768907
Lenovo,Android,16.23,yes,no,8,16,64,6,4000,159,2019,254,4.423648309,5.524974737
Lenovo,Android,16.23,yes,yes,8,32,128,6,4000,185,2019,370,5.342812606,5.992264227
Lenovo,Android,15.32,yes,no,8,16,64,4,4050,164,2019,482,4.676839473,5.062468443
Lenovo,Android,25.43,yes,no,8,8,16,2,8400,655,2016,691,5.056182109,5.191233144
LG,Android,16.59,yes,no,5,16,64,4,4000,196.5,2020,273,4.879082894,5.601491318
LG,Android,15.44,yes,no,5,13,64,3,4000,219,2020,349,4.350148896,5.299466706
LG,Others,5.28,yes,no,2,13,8,1,1470,127,2020,343,3.875566468,5.015689168
LG,Android,15.44,yes,yes,5,10,128,8,5000,218,2020,352,4.734442522,6.768240306
LG,Android,15.44,yes,yes,5,10,128,8,5000,213,2020,142,5.476463552,6.55079458
LG,Android,15.37,yes,no,5,13,32,3,4000,196.5,2020,92,4.636959508,5.481430277
LG,Android,14.5,yes,no,8,8,32,3,3450,170,2020,166,4.230767603,4.870683334
LG,Android,25.43,yes,no,8,5,32,4,8200,498,2019,329,4.709620287,5.82953368
LG,Android,15.34,yes,yes,8,32,256,8,4000,192,2019,383,5.467680322,7.003174544
LG,Android,15.34,yes,no,8,16,64,4,4000,198,2019,443,4.696928611,5.766225051
LG,Android,13.84,yes,no,8,5,16,2,3000,148,2019,257,4.255328982,4.944353031
LG,Android,13.84,yes,no,8,5,16,1,3000,152,2019,380,4.08933202,4.606369467
LG,Android,15.27,yes,no,8,13,32,2,3500,186,2019,255,4.64352514,5.082211493
LG,Android,15.37,yes,no,8,13,32,3,4000,194,2019,512,4.550608398,5.304299438
LG,Android,15.8,yes,no,8,16,64,4,4050,172,2019,223,4.461877016,5.248023572
LG,Android,15.9,yes,no,8,16,32,3,4000,175,2019,200,4.582310892,4.864607093
LG,Android,15.72,yes,no,8,8,32,3,4000,164,2019,210,4.373994463,4.694645192
LG,Android,15.29,yes,no,13,5,32,3,3500,179,2019,216,4.517649588,5.300415165
LG,Android,15.29,yes,no,16,5,64,4,3300,172,2018,724,4.887940214,5.704049106
LG,Android,12.83,yes,no,13,5,16,2,4500,171,2018,628,4.358630057,5.191066176
LG,Android,7.62,no,no,2,1.3,4,0.5,1540,140.45,2014,750,3.027715319,3.925925911
Meizu,Android,15.39,yes,yes,,20,128,8,4500,199,2020,186,5.167866937,6.272027589
Meizu,Android,15.37,yes,no,,16,128,6,4500,183,2019,449,4.665512415,5.526329049
Meizu,Android,15.37,yes,no,,8,32,2,4000,184,2019,190,4.290185431,5.195176608
Meizu,Android,15.29,yes,no,,20,128,6,3600,166,2019,459,4.721084811,5.830679408
Meizu,Android,15.29,yes,no,,16,64,6,4000,165,2019,517,4.842295535,5.388660686
Meizu,Android,15.29,yes,no,,20,128,6,3600,165,2019,332,4.959412173,6.040659391
Micromax,Android,10.16,no,no,2,0.3,0.5,0.25,1500,146.5,2014,1016,3.043569603,3.926714554
Micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500,89,2014,956,2.386926241,3.664842876
Micromax,Android,10.03,no,no,2,0.3,0.2,0.25,2000,85,2013,680,2.856470206,4.244630641
Micromax,Android,10.16,no,no,2,0.3,16,4,2000,89,2013,733,3.108614431,4.094844437
Micromax,Android,7.75,no,no,0.3,0.3,16,4,2000,89,2013,1029,2.989714201,3.884240624
Motorola,Android,15.37,yes,no,,16,128,6,5000,210,2020,242,4.829672813,5.704848573
Motorola,Android,15.42,yes,yes,,25,256,12,5000,203,2020,220,5.186882886,7.090784918
Nokia,Android,16.56,yes,no,0.3,8,64,3,4000,200,2020,310,4.186011751,5.004885462
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,193,3.616308761,4.100160948
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,356,4.055430469,4.591983624
Nokia,Others,5.18,no,no,0.3,0,0.1,0.03,1020,90.5,2020,272,2.910174385,3.399863159
Nokia,Others,5.18,no,no,0.3,0,0.06,,1020,91.3,2020,288,2.729159164,2.911263117
Nokia,Android,17.3,yes,yes,0.3,24,64,6,4500,220,2020,284,5.314043067,6.216845593
Nokia,Others,5.18,no,no,0.3,0,0.06,0.02,1200,88.2,2020,266,3.370738174,3.699077279
Nokia,Others,5.18,yes,no,0.3,0,,0.02,1200,86.5,2019,234,2.721295428,3.688379329
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,110,5.620944196,6.609308811
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,208,5.288166015,6.474106722
OnePlus,Android,16.94,yes,yes,,16,256,12,4085,206,2019,458,5.713402718,6.686160528
OnePlus,Android,16.94,yes,yes,,16,128,6,4000,206,2019,294,5.670983763,6.686647155
Oppo,Android,16.64,yes,yes,,32,128,8,4000,172,2020,187,5.170881643,6.153455837
Oppo,Android,16.33,yes,yes,,32,128,8,4000,183,2020,271,5.009634794,5.910254492
Oppo,Android,16.69,yes,yes,,32,128,6,4000,184,2020,100,5.033895988,5.672842052
Oppo,Android,16.64,yes,yes,,16,128,8,4000,186,2020,186,5.116615618,6.253482598
Oppo,Android,15.29,yes,no,,8,64,3,4230,168,2020,273,4.578312732,4.782479201
Oppo,Android,15.34,yes,yes,,32,128,8,4025,180,2020,146,5.412315471,5.98838481
Oppo,Android,15.34,yes,yes,8,32,128,8,4025,181,2019,397,4.868380247,6.088023946
Oppo,Android,15.37,yes,no,8,8,128,4,4230,180,2019,411,4.57037168,5.01588814
Oppo,Android,15.34,yes,no,8,25,128,6,3600,169.5,2019,276,4.936199063,5.632572862
Oppo,Android,15.34,yes,no,8,32,128,4,4035,186,2019,205,4.94178527,5.800667172
Oppo,Android,16.59,yes,no,8,16,128,6,4020,190,2019,321,4.656718448,5.556287375
Oppo,Android,15.39,yes,yes,8,16,256,8,4065,215,2019,392,5.295613715,6.780830585
Oppo,Android,15.27,yes,no,8,5,32,2,4000,170,2019,296,4.322011202,4.605670061
Oppo,Android,15.29,yes,no,13,8,32,3,4230,168,2018,664,4.457713717,5.437252881
Oppo,Android,10.29,yes,no,8,5,8,1,2000,135,2015,1076,4.02463715,5.009968405
Others,Android,16.43,yes,yes,8,20,128,6,4000,171,2019,317,5.570212986,6.803360963
Realme,Android,15.37,yes,no,,16,64,4,4300,191,2020,289,4.702659807,5.302060353
Realme,Android,15.37,yes,no,,16,128,4,5000,199,2020,338,4.941570991,5.0141624
Realme,Android,15.37,yes,no,,5,32,3,5000,195,2020,111,4.498364182,4.606569207
Realme,Android,15.27,yes,no,,5,32,3,4000,166,2020,167,2.896464272,3.690877457
Realme,Android,15.27,yes,no,,5,32,2,4000,166,2019,399,4.288677032,4.611351045
Samsung,Android,20.32,yes,no,5,2,16,1.5,4200,313,2015,909,4.32611744,5.348202169
Others,Android,15.34,yes,no,2,8,256,8,3130,141,2020,135,4.915665057,6.508292123
Others,Android,12.93,yes,no,8,8,64,4,3090,173,2019,523,4.180522258,5.34563025
Others,Android,16.59,yes,yes,2,16,128,6,4500,210,2020,234,5.020849617,5.985371019
Others,Android,16.59,yes,no,8,24,128,6,3820,192,2019,414,5.036303041,5.802239214
Others,Android,17.78,yes,no,2,16,64,4,6000,220,2020,135,4.378896742,4.80557721
Others,Android,15.39,yes,no,2,8,32,2,5000,206.5,2020,153,4.084294226,4.791151704
Others,Android,15.39,yes,no,2,16,128,6,4000,203,2020,125,4.919469846,5.393172898
Others,Android,12.83,yes,no,2,5,16,2,2700,153,2020,123,3.629394807,4.246493239
Others,Android,12.7,yes,no,2,5,32,4,4000,234,2020,220,3.974809994,4.699388861
Others,Android,12.7,yes,no,13,5,16,2,4000,234,2020,173,4.29374172,4.382276603
Others,Android,15.42,yes,no,12,16,128,8,5000,159,2018,413,5.175471537,5.700042155
Vivo,Android,16.36,yes,no,,32,128,8,4500,176,2020,343,5.052864298,5.766694674
Vivo,Android,16.59,yes,no,,16,64,4,5000,204.1,2020,246,4.801065863,5.068904202
Vivo,Android,16.66,yes,yes,,32,128,8,4315,181.5,2020,145,5.560335417,6.446116566
Vivo,Android,16.21,yes,no,,16,128,8,4500,190.2,2020,300,4.847331743,5.702781974
Vivo,Android,16.43,yes,no,,8,128,4,5000,197,2020,118,4.823260994,5.249652195
Vivo,Android,16.69,yes,yes,,16,128,6,4500,198.1,2020,312,4.95434709,5.857447322
Vivo,Android,17.5,yes,yes,,16,256,8,4500,219.5,2020,226,5.466878008,6.447290015
Vivo,Android,16.36,yes,no,,32,128,8,4500,176,2020,199,5.192623462,5.599199434
Vivo,Android,16.36,yes,yes,13,32,128,8,4350,196.5,2019,279,5.288014474,6.04545545
Vivo,Android,16.21,yes,no,13,16,128,8,4500,198.5,2019,212,4.770599875,5.79331844
Vivo,Android,16.59,yes,no,13,16,128,8,5000,193,2019,188,5.064302435,5.435249221
Vivo,Android,16.21,yes,no,13,32,128,8,4500,186.7,2019,264,5.104732617,5.801816215
Vivo,Android,16.13,yes,no,13,8,64,3,5000,191.5,2019,230,4.417755682,4.886809035
Vivo,Android,16.21,yes,no,13,16,64,6,4500,198.5,2019,259,4.601664047,5.55971963
Vivo,Android,16.13,yes,no,13,8,64,4,5000,190,2019,349,4.59360355,4.941928096
Vivo,Android,16.13,yes,no,13,16,128,4,5000,190.5,2019,500,4.907346705,5.245812813
Vivo,Android,17.5,yes,yes,13,16,256,8,4500,218.5,2019,288,4.94071342,6.594864794
Vivo,Android,17.5,yes,no,13,16,128,8,4500,217.3,2019,391,5.278471738,6.461014949
Vivo,Android,16.28,yes,yes,13,12,128,8,4500,217,2019,204,4.911109575,6.215967174
Vivo,Android,16.28,yes,no,13,12,128,8,4500,215,2019,293,5.144350003,6.015376367
Vivo,Android,15.8,yes,no,8,5,16,2,4030,163.5,2019,456,3.966132331,4.485598051
Vivo,Android,16.21,yes,no,13,32,128,6,4500,179,2019,224,5.206859756,5.635896134
Vivo,Android,16.21,yes,no,13,12,64,6,4500,198.5,2019,451,4.735671994,5.523458921
Vivo,Android,16.59,yes,no,13,16,64,4,5000,204.1,2019,338,4.956108708,5.304746654
Vivo,Android,16.23,yes,no,13,16,128,6,3700,185,2019,455,4.755829062,5.736217396
Vivo,Android,15.9,yes,no,13,16,64,4,3260,150,2019,431,4.614625345,5.071291288
Vivo,Android,16.13,yes,no,13,20,128,4,5000,190.5,2019,334,4.761831996,5.440511132
Vivo,Android,16.59,yes,no,13,16,128,6,3940,189.5,2019,415,5.116315759,5.561604282
Vivo,Android,15.8,yes,no,13,5,16,2,4030,163.5,2019,266,4.382151627,4.607966273
Vivo,Android,10.29,no,no,5,2,4,0.5,1900,130,2013,931,3.379292546,4.6998438
Others,Android,12.93,yes,no,8,8,32,3,3400,145,2019,407,4.421487704,5.199380619
Others,Android,14.4,yes,no,13,8,16,2,2920,160,2019,233,4.523526197,5.013098924
Others,Android,15.21,yes,no,8,5,16,2,4000,185,2019,423,4.131800899,4.405498991
Others,Android,15.32,yes,no,8,16,128,6,4000,184,2019,470,4.857950206,5.52589109
Others,Android,15.9,yes,no,8,8,64,3,4000,178,2019,280,4.33781348,5.196616812
Xiaomi,Android,16.69,yes,yes,,20,128,8,4520,208,2020,318,4.852498904,5.664244378
Xiaomi,Android,16.69,yes,yes,,16,64,6,4520,205,2020,301,4.977492076,5.301312876
Xiaomi,Android,16.94,yes,yes,,16,128,6,4800,208,2020,319,5.120923648,5.523139508
Xiaomi,Android,16.94,yes,yes,,16,128,6,4500,208,2020,184,5.026246142,5.563792173
Xiaomi,Android,16.94,yes,no,,32,64,6,5020,209,2020,256,4.966753066,5.198718001
Xiaomi,Android,15.8,yes,no,,8,32,2,5000,188,2020,265,4.344065128,4.49535532
Xiaomi,Android,15.8,yes,no,,8,32,2,5000,188,2020,321,3.421000009,4.39222446
Xiaomi,Android,16.94,yes,no,,16,64,6,4500,208,2020,169,4.967310169,5.295513439
Xiaomi,Android,20.12,yes,yes,12,20,512,12,4050,241,2019,478,6.619433002,7.823341763
Xiaomi,Android,16.23,yes,no,12,20,128,8,4000,196,2019,382,5.360587692,6.211302641
Xiaomi,Android,16.23,yes,no,12,16,128,8,4000,191,2019,374,5.192289962,6.107267847
Xiaomi,Android,15.27,yes,no,12,32,64,4,4030,173.8,2019,396,4.792396362,5.129188404
Xiaomi,Android,16.23,yes,no,12,32,64,6,4030,179,2019,406,4.886280713,5.56819182
Xiaomi,Android,15.32,yes,no,12,13,32,3,4000,186,2019,338,4.687395126,4.939282497
ZTE,Android,16.89,yes,yes,,12,256,8,5100,215,2020,235,5.390850968,6.394693824
ZTE,Android,16.89,yes,yes,,12,128,6,5100,210,2020,278,4.652053772,5.740146547
ZTE,Android,15.24,yes,no,14.5,8,32,3,4000,160,2019,386,4.272211769,4.493232533
ZTE,Android,15.47,yes,no,16,5,32,3,3200,165,2019,325,4.408059812,4.485936098
ZTE,Android,15.32,yes,no,14.5,16,64,3,3200,165,2019,347,4.498697941,5.080658745
ZTE,Android,16.48,yes,no,14.5,8,128,4,5000,190,2019,343,4.57316339,4.872292344
ZTE,Android,16.89,yes,no,48,16,128,8,5000,215,2019,336,5.668051665,6.708779812
ZTE,Android,16.31,yes,no,14.5,8,128,6,4000,186,2019,330,5.243913978,6.312478634
ZTE,Android,13.84,yes,no,13,8,16,2,2600,157,2019,474,4.297421451,4.383650316
ZTE,Android,12.7,yes,no,8,5,16,1,2000,144,2019,349,3.803992261,4.120986493
ZTE,Android,12.7,no,no,8,5,16,1,2000,144,2019,385,3.931433399,4.102643365
ZTE,Android,16.89,yes,no,48,16,64,6,5000,215,2019,506,5.263725922,6.217723241
ZTE,Android,16.43,yes,no,14.5,20,128,6,4000,175,2019,333,5.029718709,6.15296671
ZTE,Android,13.84,yes,no,13,8,16,2,3200,135,2018,595,4.450152464,5.002468705
ZTE,Android,15.27,yes,no,16,5,32,2,3200,146,2019,420,4.339249605,4.412192049
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,138,4.466367783,4.695467824
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,268,5.051905188,5.520660598
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,195,5.018008048,5.884157694
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,272,4.903346996,5.634075062
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,346,4.477791257,4.943355241
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,362,4.466597536,5.076423035
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,355,3.961574784,4.507116246
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,202,4.776093698,5.202852175
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,310,4.803775113,5.297717186
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,141,4.831747834,5.067456614
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,228,4.476199805,4.689695141
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,213,4.609859175,4.781892764
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,504,5.17252736,6.211262508
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,371,4.797194518,5.391352233
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,201,4.220095768,4.49635928
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,354,4.415944853,4.86753445
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,311,5.180209278,5.515845179
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,524,4.679349584,5.188167623
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,388,4.055776969,4.793059547
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,234,4.53999146,5.523937848
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,251,4.294560609,5.296114943
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,1048,4.899852698,5.488152294
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,194,4.829033478,5.185652461
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,385,4.860277413,5.392080896
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,323,4.388008706,5.009100784
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,489,4.633951987,6.033589692
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,392,5.041552397,5.641694282
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,204,4.865455368,5.522939824
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,328,4.971686544,5.388889065
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,134,5.058980915,5.568535325
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,127,4.980931815,5.48309424
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,240,4.218183299,4.609460967
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,102,4.916690848,5.766412927
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,305,5.097485547,5.521900821
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,215,5.49380191,7.243134061
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,133,4.365643155,5.080161357
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,181,5.359976747,6.309245325
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,202,4.651003602,4.942570563
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,433,5.071354029,5.674010316
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,505,4.99531859,5.635789104
Huawei,Android,25.6,yes,no,13,8,128,6,7250,460,2019,406,4.978869391,6.109825194
Huawei,Android,15.9,yes,no,13,32,64,6,4000,178,2019,351,5.037147389,5.299716387
Huawei,Android,15.32,yes,no,13,16,64,6,4000,163,2019,364,4.949043538,5.294660689
Huawei,Android,16.23,yes,no,13,8,64,4,4000,176,2019,253,4.403054002,5.016219672
Huawei,Android,16.59,yes,yes,13,16,512,12,4500,198,2019,488,5.995954452,7.439289002
Huawei,Android,16.81,yes,yes,13,16,128,6,4200,196,2019,269,5.530103463,6.478140911
Huawei,Android,16.81,yes,no,13,16,128,6,4200,196,2019,207,5.345344072,6.311517
Huawei,Android,15.9,yes,no,13,32,128,6,4000,178,2019,223,5.214772701,5.666841827
Huawei,Android,16.74,yes,no,13,16,128,4,4000,163.5,2019,181,4.894401058,5.242434609
Huawei,Android,25.6,yes,no,13,8,64,4,7500,498,2019,518,5.025589586,5.698970918
Huawei,Android,20.42,yes,no,13,8,128,6,6100,340,2019,307,4.943212618,5.86144128
Huawei,Android,20.42,yes,no,13,8,64,4,6100,320,2019,274,5.017147378,5.55971963
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,520,5.372914505,5.969730055
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,210,5.366396487,5.883935014
Huawei,Android,15.34,yes,no,13,24,128,6,4000,178,2019,539,5.180209278,5.55898789
Huawei,Android,15.34,yes,no,13,16,64,4,4000,178,2019,244,4.837313121,5.635146682
Huawei,Android,16.74,yes,no,13,16,64,4,4000,196.8,2019,330,4.861671141,5.638069931
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,610,3.959097413,4.701025672
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,835,4.335197047,5.012034315
Infinix,Android,17.32,yes,no,,8,32,2,6000,209,2020,320,4.405132623,4.605370166
Infinix,Android,15.39,yes,no,,8,64,4,5000,185,2020,173,4.4959132,4.702115392
Infinix,Android,15.39,yes,no,,8,32,2,5000,185,2020,329,4.370712875,4.487287145
Infinix,Android,15.39,yes,no,,16,32,3,4000,178,2019,356,4.417996878,4.605969866
Infinix,Android,15.29,yes,no,,16,32,2,4000,165,2019,497,4.423288532,4.866071843
Lava,Android,14.5,yes,no,,5,32,2,3200,150,2020,359,3.918203865,4.381276353
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,704,3.509154523,4.102478062
Lenovo,Android,25.43,yes,no,8,5,32,3,7000,520,2020,212,4.683426684,5.189171919
Lenovo,Android,25.43,no,no,8,5,64,4,7000,580,2019,429,5.053758638,5.768070965
Lenovo,Android,15.47,yes,no,8,5,16,2,4000,172,2019,531,4.145196092,4.602165677
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,233,4.515245478,5.077795376
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,349,4.390366759,4.947198388
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,524,3.806440243,4.595523809
Lenovo,Android,16.23,yes,no,8,16,64,6,4000,159,2019,426,4.447228998,5.523818137
